Index,Video Url,Video Title,Video Views,Video Likes,Video Comments,Video Author,Duration In Seconds
74,https://www.youtube.com/watch?v=lRElsjzAmcw,Linus Tech Tips Is Bleeding Subscribers,123785,5614,1017,ReviewTechUSA,353
75,https://www.youtube.com/watch?v=drqDViPAQtA,Technology,2355019,30691,853,Chris Brown,211
76,https://www.youtube.com/watch?v=78iLznY0ae4,NEW INVENTIONS THAT WILL BLOW YOUR MIND,469254,4782,171,Innovative Techs,607
77,https://www.youtube.com/watch?v=bSsnjFzaNK8,What is Information Technology With Full Information? – [Hindi] – Quick Support,1042902,39520,1064,Quick Support,686
78,https://www.youtube.com/watch?v=5fKkXFresYI,5 Times Tech has SAVED LIVES!,31956184,2326723,7164,Mrwhosetheboss,60
79,https://www.youtube.com/watch?v=94LDWSXT7HY,5 Most Extreme Tech Pranks! 👺,20397590,1303861,2345,Mrwhosetheboss,58
80,https://www.youtube.com/watch?v=jTX8MSw0Ufw,Top 10 Technologies To Learn In 2023 | Trending Technologies In 2023 | Simplilearn,666655,9963,97,Simplilearn,654
81,https://www.youtube.com/watch?v=8PTjPzw9VhY,This goofy fridge has a really clever design. It's also kinda terrible.,1510000,65933,9130,Technology Connections,3813
82,https://www.youtube.com/watch?v=jJQ5NwwVeF4,TECHNOLOGIES THAT WILL TAKE GREEN ENERGY TO A NEW LEVEL,326875,3861,150,Innovative Techs,580
83,https://www.youtube.com/watch?v=I8oMcMlItpU,Ayo Yo Technology - Sunep Lemtur Feat. Kunotolly Sumi (Nagamese Comedy Song),3650473,72850,1429,Sunep Lemtur,290
84,https://www.youtube.com/watch?v=Yrw6p-L31Ds,ये Charging Cable आपका दिमाग हिला देगी 🤯🤯 #shorts  #tech,41831426,2442266,1784,Tech Master Shorts,43
85,https://www.youtube.com/watch?v=ovtBtEzIH9w,The Universes MOST advanced civilization #space #technology #nasa,7510070,500260,6670,Thomas Mulligan,58
86,https://www.youtube.com/watch?v=BAptnfzJICs,World in 2050  #Futuristic #Samsung #Technology #tech,26157,840,8,TECH INVENTIONS,21
87,https://www.youtube.com/watch?v=EoJ6gXGL-zM,AI expert reveals his 'single greatest fear' about the technology,273764,3127,964,CNN,344
88,https://www.youtube.com/watch?v=7poSJtzKqyU,20 Coolest Gadgets That Are At Another Level,285624,2438,45,YouFact Tech,617
89,https://www.youtube.com/watch?v=BlDYS_2X5wI,How TATA’s GENIUS strategy is turning TATA Tech into a LEGEND? : Tata technologies case study,974722,32708,762,Think School,1046
90,https://www.youtube.com/watch?v=rQadCm9QPGs,'Bloomberg Technology' Full Show (06/26/2023),11275,151,10,Bloomberg Technology,2635
91,https://www.youtube.com/watch?v=tz3S1JR9FOE,ये कैसा फ़ोन है Sasta Redmi Phone 😳😳 #shorts  #techmaster,2219687,221296,892,Tech Master Shorts,51
92,https://www.youtube.com/watch?v=JpBBY1HbT54,Artificial Intelligence KILLED the Internet!? #ai #technology,1308007,102157,1542,Thomas Mulligan,45
93,https://www.youtube.com/watch?v=2tdL0_SUPZw,ये Gadget आपका दिमाग हिला देगा 🤯🤯 #shorts  #techmaster  #tech,1887516,207804,482,Tech Master Shorts,57
94,https://www.youtube.com/watch?v=OFvXuyITwBI,Apple Vision Pro Impressions!,16854517,523677,39501,Marques Brownlee,1211
95,https://www.youtube.com/watch?v=fmpFU8GBdQo,Primitive Technology: Amazing Catch A Giant HoneyBee For Food On The Big Tree,6041741,21368,473,Primitive Jungle,511
96,https://www.youtube.com/watch?v=GjhR7NBubq0,Ice Melt on CPU | #educational #shorts #science #technology #electronic #cpu,20322129,682041,802,aryanlovescode,24
97,https://www.youtube.com/watch?v=fRTVGW7UJQ4,ऐसा मिलता है London में Grocery समान 😮😮 #Tech #Shorts #Manojsaru #London,18908464,1599239,1738,Manoj Saru,41
98,https://www.youtube.com/watch?v=CpLdL8ONEm4,The Terrifying Technology Inside Drone Cameras,1009003,21100,1056,New Mind,1115
99,https://www.youtube.com/watch?v=0NVb16N4Ai4,😱 OMG..! South Korea 'வில் Samsung..📱 #shorts #samsung #samsungfold5 #flip5,1380800,138629,236,Tech Boss,41
100,https://www.youtube.com/watch?v=rnBQXmO_StE,BOX SET: 6 Minute English - Internet and Technology English mega-class! One hour of new vocabulary!,949803,14326,187,BBC Learning English,3664
101,https://www.youtube.com/watch?v=I8oMcMlItpU,Ayo Yo Technology - Sunep Lemtur Feat. Kunotolly Sumi (Nagamese Comedy Song),3650473,72850,1429,Sunep Lemtur,290
102,https://www.youtube.com/watch?v=vcl-xcvjkSI,10 COOLEST AI Inventions You Can BUY Right Now,54477,783,30,Future Tech,590
103,https://www.youtube.com/watch?v=tz3S1JR9FOE,ये कैसा फ़ोन है Sasta Redmi Phone 😳😳 #shorts  #techmaster,2219687,221296,892,Tech Master Shorts,51
104,https://www.youtube.com/watch?v=JpBBY1HbT54,Artificial Intelligence KILLED the Internet!? #ai #technology,1308007,102156,1542,Thomas Mulligan,45
105,https://www.youtube.com/watch?v=2tdL0_SUPZw,ये Gadget आपका दिमाग हिला देगा 🤯🤯 #shorts  #techmaster  #tech,1887516,207804,482,Tech Master Shorts,57
106,https://www.youtube.com/watch?v=YM4RwteFtnI,Bloomberg Technology 08/18/2023,9037,122,16,Bloomberg Technology,2657
107,https://www.youtube.com/watch?v=3bRBhlLAXFE,amazing japanese home 🏡 technology gadgets vlog/tiktok china #shorts,448557774,14458483,29722,High Tech USA,54
108,https://www.youtube.com/watch?v=gsvxHJWnP_s,क्या है Hyperloop | Virgin Hyperloop | Hyperloop Technology | Mumbai Pune Hyperloop,8897123,283809,8628,Khan GS Research Centre,1012
109,https://www.youtube.com/watch?v=0NVb16N4Ai4,😱 OMG..! South Korea 'வில் Samsung..📱 #shorts #samsung #samsungfold5 #flip5,1380800,138630,236,Tech Boss,41
